bits	number	quadratic	rho
20	99999889840010006983	1.9131577014923096	0.6032910346984863
22	9999986553204515235131	4.722890853881836	0.4513065814971924
24	999999824354007687578429	15.802688837051392	11.562824010848999
26	99999998807840003261762903	38.002524614334106	30.547356605529785
28	9999999994614000000703125499	15.488646507263184	56.34345984458923
30	999999999867938000004222734561	55.851635694503784	193.34201192855835
32	99999999999658860000000027723073	20	99998845502695925449	2.551555871963501	0.7927525043487549
22	9999989534002118767451	1.8514389991760254	2.723248243331909
24	999999850418005524770477	16.287360191345215	5.938424825668335
26	99999999108580001834840917	39.02491235733032	27.736735343933105
28	9999999990837600001417059463	50.02460289001465	75.0002760887146
30	999999999864878000004559701377	55.559548139572144	851.817880153656
20	99998936622183711517	3.6158039569854736	0.7042896747589111
22	9999992482800826438027	2.4935965538024902	1.1222891807556152
24	999999871540004077758619	8.78770136833191	1.9197630882263184
26	99999998403040006230765583	9.477301359176636	34.48890781402588
28	9999999990315800002084996697	38.8050479888916	59.71315884590149
30	999999999918438000001651475497	107.73106384277344	605.5247597694397
20	99998577344838667813	2.193748950958252	0.49781155586242676
22	9999996855400116018613	3.82320237159729	3.0732815265655518
24	999999885020003103261251	9.290495872497559	3.1385385990142822
26	99999999509900000032435469	14.33505129814148	20.535375356674194
28	9999999991372600001860273693	70.05687928199768	124.42282319068909
30	999999999871866000004103934073	74.80897641181946	361.26714301109314
20	99999122901161942561	3.5116305351257324	0.7938761711120605
22	9999986028804876155111	2.6351747512817383	2.5831007957458496
24	999999845474005835150333	6.646084785461426	2.092022180557251
26	99999998955500002577535089	14.605087757110596	11.559622287750244
28	9999999985636600005137431489	23.66052794456482	96.16221141815186
30	999999999958400000000417886719	36.17926025390625	57.31426429748535
